generator_mode,generator_confidence,generator_entropy
Take a short break,0.4714010370926458,1.4782834975350716
Prepare for bed,0.5052235960855687,1.42942532629461
Reduce screen time,0.26149152109513846,1.6787493018384982
Take a short break,0.29394482750224066,1.5883428173262804
Take a short break,0.29127350327596346,1.6829047371630739
Maintain habits,0.4516248203499398,1.473205031691165
Take a short break,0.6768754737896581,1.1337222304509977
Take a short break,0.579118452337995,1.342277198052622
Take a short break,0.3580941147521939,1.500768282458238
Stay active,0.3102277802446346,1.6682398152172175
Take a short break,0.32481662475232287,1.6262885291014508
Take a short break,0.4263551978422892,1.5422707645810143
Maintain habits,0.3718992983119413,1.6414769345970162
Connect socially,0.36393424470998964,1.6153203659168418
Maintain habits,0.3655870866066173,1.583697762190507
Maintain habits,0.3069223980021979,1.6711628153459954
Maintain habits,0.296670619005066,1.6811999960317283
Reduce screen time,0.32872971753536523,1.6126782175727552
Take a short break,0.2752101976435433,1.6267671960222185
Take a short break,0.4616219807221907,1.479023933389405
Prepare for bed,0.2689045782217275,1.6529109335154464
Prepare for bed,0.3383574398267773,1.600297249461124
Take a short break,0.4600715607567794,1.4889965641678744
Connect socially,0.4157608795710893,1.5612040110547092
Maintain habits,0.32255675308603887,1.5646086244710893
Connect socially,0.2820385606301373,1.6810919609183839
Maintain habits,0.511154858894896,1.4474771937839852
Connect socially,0.2700123122008433,1.6873579502671927
Stay active,0.2863462227012989,1.636064785342667
Connect socially,0.4942389834584632,1.4833324022820258
Maintain habits,0.34990305187524623,1.594266789087456
Maintain habits,0.3236217456658964,1.5446146933266707
Stay active,0.22897280262186326,1.738846343591677
Maintain habits,0.5335581267972184,1.388287959926077
Stay active,0.34980663983172183,1.639564354538649
Connect socially,0.31897909897701765,1.6855732778074686
Take a short break,0.27947818693631243,1.6412534926938847
Take a short break,0.45455628263433345,1.5291129256035974
Take a short break,0.47131151264233995,1.5243574745048687
Connect socially,0.584507552967209,1.2993215039253674
Maintain habits,0.32955418410705783,1.5954219037496427
Stay active,0.30431625483431685,1.655042243775482
Prepare for bed,0.3262144198059812,1.5718080248418254
Stay active,0.30426060395311666,1.6295041023488777
Connect socially,0.4899859870527442,1.391926599609235
Reduce screen time,0.3007631114480841,1.6857714844115987
Connect socially,0.24065191827775997,1.7351681976836346
Maintain habits,0.2911416876444068,1.6495326279134002
Take a short break,0.415068700274152,1.5058387036698349
Maintain habits,0.348808480518015,1.5554919999780652
Connect socially,0.4388183976716523,1.4349769847962284
Take a short break,0.4428053199431695,1.5186282617851152
Maintain habits,0.49758648459421256,1.3933022318635875
Maintain habits,0.5762286542817799,1.3302349302569976
Maintain habits,0.22766356916572708,1.7221671150874682
Connect socially,0.27584309549427066,1.6217161687838995
Maintain habits,0.5236076630186975,1.3911273682998062
Prepare for bed,0.441145587727378,1.4949971330179208
Maintain habits,0.38014849022521674,1.6330080219541356
Prepare for bed,0.48353581630084885,1.5020573069753789
Take a short break,0.4747572121377946,1.436439450300516
Connect socially,0.36072103546996936,1.4794076437833925
Take a short break,0.34947250788549633,1.5252373115259958
Maintain habits,0.35787438750264255,1.5659956412675549
Stay active,0.3410363137862717,1.5666893434198743
Maintain habits,0.49613878186566274,1.469347758492685
Maintain habits,0.2755699559366985,1.7052136789855092
Maintain habits,0.4032274551902746,1.574567647998274
Stay active,0.27171947011252023,1.6237843877893852
Reduce screen time,0.31841436599456646,1.652397466733373
Stay active,0.3702560137372785,1.4522967838243617
Prepare for bed,0.42255638658117867,1.5875852592021742
Maintain habits,0.4287910056846753,1.5389361626754918
Connect socially,0.22502433080742845,1.702134738277036
Maintain habits,0.2883035271894817,1.5694217267221764
Prepare for bed,0.6235121743866001,1.2240838819074769
Maintain habits,0.2942557439039149,1.6209025550416318
Take a short break,0.29264810554402015,1.6380774041422543
Stay active,0.3314204392592648,1.6178205828763792
Maintain habits,0.33331460714337985,1.648177190383691
Take a short break,0.24840948432847448,1.7489370617136766
Maintain habits,0.28731381647808824,1.6659894837586051
Maintain habits,0.3574858941209806,1.5753467120641196
Maintain habits,0.43725950069458136,1.3907453699856185
Prepare for bed,0.3943449279712636,1.5621588130744173
Reduce screen time,0.2825016304881642,1.6277046567040485
Prepare for bed,0.47025487153368783,1.3978216872041989
Maintain habits,0.31410254832606777,1.6301078482096067
Reduce screen time,0.25210559992079845,1.6715019828563678
Take a short break,0.27889627997576133,1.7005498692872816
Reduce screen time,0.24162919686174883,1.7551267731536946
Connect socially,0.2567218193137666,1.6881651022232067
Connect socially,0.5442403083772316,1.3462006288946111
Stay active,0.26119797780710635,1.6540532971294355
Maintain habits,0.33210261010376324,1.6181949669116595
Take a short break,0.3300819764301461,1.699095577476696
Maintain habits,0.3088095531336856,1.689611084527738
Connect socially,0.43544906570478265,1.4265558029762326
Stay active,0.30673985774966805,1.6910466689501524
Maintain habits,0.5802197063675363,1.3078606930160916
Maintain habits,0.4028229123538062,1.5992644158209064
Maintain habits,0.236052913912135,1.7085558461545256
Reduce screen time,0.2342659632642987,1.7517764333039754
Prepare for bed,0.2829831987260372,1.6470362329596742
Stay active,0.26095179001956276,1.7309977225649251
Maintain habits,0.2943951623870676,1.630463079143951
Stay active,0.3333430942454867,1.5987098189854478
Maintain habits,0.29953186853078995,1.6306733413666972
Stay active,0.2993375601921402,1.725940644263717
Take a short break,0.41768298881677784,1.51690243623044
Connect socially,0.523976353308944,1.3990416822457572
Take a short break,0.32277201397785854,1.6101754339588323
Take a short break,0.38267071223037863,1.6179134705465912
Maintain habits,0.28627878632931414,1.7131816753112932
Connect socially,0.27797531516692237,1.6884047496687205
Maintain habits,0.429755799493852,1.4441597240495798
Connect socially,0.40032797407595816,1.5912625286361064
Maintain habits,0.3154778084890371,1.553211071528947
Connect socially,0.3827241812061161,1.5833068198978304
Connect socially,0.40748341104775104,1.5092220401612055
Take a short break,0.6475786654965022,1.1841934610309646
Stay active,0.29417655978828006,1.6707738348786894
Prepare for bed,0.5068681157576456,1.461474771837786
Take a short break,0.36342258467897076,1.6298173037463313
Take a short break,0.28437276667820066,1.596114980161
Prepare for bed,0.5281506459951427,1.3665375287373456
Take a short break,0.4150738158432642,1.5024264878894766
Maintain habits,0.2850985179354564,1.6508574776402507
Connect socially,0.2762734054370816,1.6676021424175902
Take a short break,0.2469958190922512,1.731513901086753
Maintain habits,0.4598069215040447,1.4609717961907063
Maintain habits,0.32874641115384395,1.597122954175435
Maintain habits,0.2568576515773539,1.7258375047776084
Maintain habits,0.30262871448209444,1.715514012576618
