sleep,stress,mood,energy,screen_time,activity_minutes,connectedness,activity,hour,day_type,best_nudge
8.58,4,2,3,3.31,63,4,Studying,19,Weekend,Reduce screen time
6.87,3,2,4,5.66,38,4,Phone,23,Weekday,Maintain habits
7.94,4,3,4,5.89,38,4,Phone,7,Weekend,Connect socially
8.52,5,2,3,7.27,27,5,Phone,12,Weekday,Take a short break
5.97,4,3,2,5.25,63,3,Exercise,17,Weekday,Prepare for bed
8.31,3,5,4,2.1,39,4,Relaxing,15,Weekend,Stay active
5.99,5,1,1,7.53,54,3,Studying,18,Weekend,Take a short break
6.61,4,2,1,5.38,37,4,Working,17,Weekend,Take a short break
9.13,4,4,4,4.95,133,3,Working,19,Weekday,Take a short break
6.58,3,3,3,5.61,0,4,Phone,8,Weekday,Reduce screen time
7.56,3,3,2,3.68,3,3,Studying,15,Weekday,Maintain habits
6.35,4,2,2,5.22,34,4,Studying,20,Weekend,Prepare for bed
7.04,2,3,3,4.32,97,3,Relaxing,14,Weekday,Reduce screen time
8.32,3,2,3,2.8,65,2,Phone,16,Weekend,Connect socially
8.09,4,4,3,4.55,46,4,Exercise,7,Weekday,Take a short break
7.93,2,3,4,3.5,35,3,Working,12,Weekday,Connect socially
7.15,3,3,4,4.52,76,3,Studying,16,Weekday,Maintain habits
8.21,3,3,3,7.03,69,4,Phone,15,Weekday,Stay active
8.15,3,4,3,2.45,20,4,Studying,19,Weekend,Maintain habits
5.63,4,3,3,0.82,61,4,Studying,18,Weekday,Take a short break
7.65,2,3,3,4.65,72,3,Phone,21,Weekend,Prepare for bed
6.28,4,3,2,3.0,64,3,Exercise,20,Weekday,Prepare for bed
6.78,4,3,3,3.99,48,5,Studying,12,Weekend,Take a short break
7.88,3,3,2,7.05,41,1,Phone,6,Weekend,Reduce screen time
6.89,2,3,3,3.29,141,4,Studying,20,Weekend,Take a short break
7.9,3,3,3,5.21,57,2,Phone,14,Weekday,Reduce screen time
8.03,2,4,3,3.34,64,3,Exercise,14,Weekday,Maintain habits
4.7,4,2,1,6.42,42,2,Phone,10,Weekday,Maintain habits
8.41,3,3,3,5.15,10,4,Studying,18,Weekday,Reduce screen time
7.32,4,3,3,5.65,72,1,Relaxing,13,Weekday,Connect socially
8.38,4,3,3,3.45,90,4,Phone,11,Weekend,Reduce screen time
8.91,3,3,3,5.39,115,3,Studying,16,Weekend,Maintain habits
6.09,4,2,2,4.49,32,3,Relaxing,19,Weekday,Stay active
7.38,3,4,3,2.7,88,5,Exercise,13,Weekday,Maintain habits
