generator_mode,generator_confidence,generator_entropy
Maintain habits,0.385608658159237,1.540900666856981
Maintain habits,0.5279838250561534,1.3960586409864604
Take a short break,0.28274063162315155,1.6723319085311004
Maintain habits,0.5109632374594082,1.4717698810728592
Connect socially,0.44150932744681765,1.562740924283342
Prepare for bed,0.447040998855219,1.5336950435443644
Maintain habits,0.38813670978048315,1.5744815954283486
Take a short break,0.28140373649065303,1.6465174289857343
Prepare for bed,0.5814101912143127,1.2785416047725704
Maintain habits,0.4813436155941546,1.4667431128856545
Connect socially,0.4025430266360308,1.544086741375426
Maintain habits,0.5982515460089585,1.2871927014992823
Maintain habits,0.22447009122626024,1.7059492221739965
Maintain habits,0.31705194243864043,1.6441188680083392
Connect socially,0.30910307038182006,1.7007466384716305
Prepare for bed,0.44300511259175346,1.496627148824754
Maintain habits,0.8245270979017545,0.7400973125289426
Maintain habits,0.31948435817307125,1.605159812036033
Prepare for bed,0.5343820059515073,1.3926125803260119
Connect socially,0.4779823637638546,1.470564938273998
Connect socially,0.5445557843759512,1.3537029580451285
Maintain habits,0.35984997634267385,1.5919464086807826
Stay active,0.25378179680497454,1.7095376689513708
Take a short break,0.273024834944995,1.681540129816773
Maintain habits,0.38662808682801597,1.642114218575939
Maintain habits,0.3193446212452958,1.6428722671154674
Take a short break,0.30793365592827965,1.7192263493921809
Maintain habits,0.35091138322188664,1.5103268322257746
Maintain habits,0.38962301021249535,1.6132760622823725
Maintain habits,0.5688563771537148,1.3452838327650252
Stay active,0.27973145653057163,1.6866521404417651
Stay active,0.31678458254929104,1.7004042266842483
Maintain habits,0.2601105798296687,1.6941951768894419
Maintain habits,0.27953374444192247,1.669589912938763
Maintain habits,0.26054384602047165,1.7481938521264582
Maintain habits,0.3212935060424615,1.6320928951040874
Connect socially,0.279423545940959,1.617390708325548
Take a short break,0.40680063348661355,1.6212007178043537
Prepare for bed,0.5243656925667763,1.434814735711555
Connect socially,0.5614861971454741,1.3436585132990775
Connect socially,0.35328617558325054,1.6193843232533045
Maintain habits,0.3740387271339807,1.5136438996573283
Take a short break,0.28621631104741135,1.5898516692808022
Prepare for bed,0.630549841485364,1.200291043499893
Take a short break,0.46004061126592893,1.4131104302471877
Maintain habits,0.5028706788374584,1.4340641068836657
Reduce screen time,0.24863059268112983,1.708227570032519
Maintain habits,0.3257552707121299,1.6656331648701312
Maintain habits,0.38416087540475824,1.6143128273919174
Prepare for bed,0.4831160991838965,1.4547980739384412
Stay active,0.243821814572886,1.7432506066190572
Stay active,0.30901382423984225,1.572433773360047
Stay active,0.2514930082193888,1.7239006656326898
Take a short break,0.2907910872790401,1.6538024597416396
Connect socially,0.37201328002116707,1.6478184588155886
Maintain habits,0.7011611969499885,1.0597692646168884
Reduce screen time,0.27571189919137884,1.707814409049835
Take a short break,0.3520658506098642,1.571945145312956
Connect socially,0.48556003167119494,1.4863150785416999
Take a short break,0.3785448569236832,1.5944109495368206
Maintain habits,0.2698739635736391,1.6980888605230064
Prepare for bed,0.5294027125533906,1.4110726169002972
Maintain habits,0.37352243858492734,1.590080662460158
Prepare for bed,0.2650432072628915,1.7152978931305
Stay active,0.24531838475810286,1.6729607674246292
Connect socially,0.4339510859884868,1.490348346374527
Stay active,0.273589672453345,1.6328621542199904
Prepare for bed,0.2685155032069362,1.6601914479542295
Stay active,0.2887597193636172,1.692869414224416
Reduce screen time,0.2656995159380226,1.6494736611465173
Take a short break,0.32206856276718643,1.5901222133988306
Connect socially,0.4164428481148903,1.5530568265244522
Stay active,0.328684237236818,1.6035023518365148
Maintain habits,0.6113377561459186,1.2792497541441774
Connect socially,0.40788750250596795,1.3969731208495029
Connect socially,0.30180168278901665,1.6739241760060704
Take a short break,0.2817668048701834,1.6877773690166415
Stay active,0.24784358365035034,1.7384851462995854
Take a short break,0.24710519418480686,1.7072817772546693
Prepare for bed,0.2728486101282482,1.634932620163881
Maintain habits,0.38108229284093925,1.5191729490730095
Maintain habits,0.3125467310614572,1.658264830373149
Take a short break,0.40901382745021053,1.5922077485269448
Take a short break,0.46666505918039547,1.4655377713883644
Maintain habits,0.4078889248082724,1.5313325829895619
Take a short break,0.4996059966228036,1.4527765477182557
Maintain habits,0.4666822244542385,1.5097452604388253
Maintain habits,0.3416429035488339,1.5692378364046584
