sleep,stress,mood,energy,screen_time,hour,activity,social,day_type,prediction,top_probability,second_probability,probability_margin,entropy,normalised_entropy,certainty_score,certainty,probability_mae,top1_correct
8.59,2,4,4,5.48,19,Phone,Medium,Weekend,Reduce screen time,0.2960135115189498,0.2520291867875402,0.04398432473140956,1.6500455283524962,0.9209079436668954,0.179813518762135,Low,0.002880323134086755,True
4.31,3,4,3,5.5,23,Exercise,High,Weekday,Prepare for bed,0.878442834532755,0.04797533575202097,0.830467498780734,0.5256466608139996,0.29336898721147225,0.8866254780974453,High,0.0037891675588266013,True
8.87,2,4,3,3.42,7,Relaxing,Medium,Weekend,Stay active,0.2871389459708942,0.2774692054433892,0.009669740527504966,1.64734912881121,0.9194030544294758,0.1521007331702607,Low,0.002980949859546802,True
7.03,4,4,3,3.74,12,Studying,Medium,Weekday,Take a short break,0.5718818220664665,0.12406928299828546,0.4478125390681811,1.3306945859115358,0.7426747890914398,0.6222806394593486,High,0.0016419236473654922,True
6.05,2,3,2,4.5,17,Working,Medium,Weekday,Prepare for bed,0.3314086728647381,0.28687433100445725,0.044534341860280824,1.586010331462762,0.8851692198094335,0.20327409812944203,Low,0.0022089747825591566,True
7.56,3,3,4,2.5,15,Studying,Medium,Weekend,Connect socially,0.25638498680808114,0.25592379999881165,0.0004611868092694871,1.6375939409254778,0.9139585804064446,0.13290435874883624,Low,0.00274886774342334,False
7.17,4,2,3,5.48,18,Phone,Medium,Weekend,Take a short break,0.378259836689385,0.2552501615630551,0.12300967512632993,1.539382799734771,0.8591458988621863,0.28449451932621694,Low,0.0018678687597382775,True
6.66,2,4,4,4.72,17,Exercise,Medium,Weekend,Prepare for bed,0.3448280148887868,0.21467549138565373,0.13015252350313306,1.6400685337841783,0.9153396769772731,0.2632114377566926,Low,0.0018793523810395549,True
5.21,3,3,2,3.96,19,Working,Medium,Weekday,Take a short break,0.4000924319977617,0.38576916949798984,0.014323262499771838,1.3229382630281696,0.7383459028672705,0.24239869757537896,Low,0.0017288055437911156,True
8.02,2,4,3,5.44,8,Studying,High,Weekday,Stay active,0.26725799707902026,0.2306113889871562,0.03664660809186407,1.68161788000812,0.938528808631112,0.15821296262364157,Low,0.0030266089324955912,True
6.66,4,3,3,4.33,15,Exercise,Medium,Weekday,Take a short break,0.47366490148335644,0.22658181886129056,0.24708308262206588,1.3899162001480216,0.7757270013183412,0.43096196323928826,Moderate,0.0023551967216954065,True
7.54,3,4,4,1.89,20,Studying,Medium,Weekend,Prepare for bed,0.2869924569857024,0.2284032766411053,0.05858918034459712,1.6419099010926088,0.9163673636394923,0.1868855591568856,Low,0.0035260539736438543,True
8.14,4,3,3,4.55,14,Phone,Low,Weekday,Connect socially,0.5997718370465986,0.22746147288122523,0.37231036416537344,1.1735658683561123,0.6549795820873884,0.599518665169253,High,0.0014463901661053956,True
